product_id,product_name,description,color,size,material,image_url,price,discount_price,discount_percent,category,brand,stock_quantity,audience,tags,created_at,availability_status
29,Unisex Track Pants,Comfortable pants for active use.,"Black,Gray","M,L,XL",Polyester,https://www.google.com ,44.99,38.24,15.0,Track Pants,ActiveVibe,40,unisex,"spring, trendy, breathable, gym, plain, gender-neutral",2025-06-06,in_stock
30,Kids' Raincoat,Waterproof coat for rainy playtime.,"Yellow,Blue","XS,S,M",Nylon,https://www.google.com ,29.99,25.49,15.0,Raincoats,RainyDays,40,kids,"fall, casual, waterproof, school, graphic, princess",2025-06-05,in_stock
31,Men's Dress Jacket,Tailored jacket for formal events.,"Black,Navy","M,L,XL",Wool,https://www.google.com ,129.99,110.49,15.0,Jackets,SharpLook,20,men,"fall, formal, wool, work, plain, men",2025-06-04,in_stock
32,Women's Lounge Top,Cozy top for relaxing at home.,"Purple,White,Red","S,M,L",Cotton,https://www.google.com ,24.99,19.99,20.0,Lounge Tops,ComfyWear,55,women,"winter, casual, cotton, home, patterned, women",2025-06-03,in_stock
33,Men's Running Shorts,Breathable shorts for intense workouts.,"Red,Blue,White","M,L,XL",Polyester,https://www.google.com ,34.99,29.99,14.29,Shorts,FitZone,55,men,"spring, trendy, breathable, gym, logo, men",2025-06-12,in_stock
34,Women's Linen Shirt,Light and airy shirt for warm days.,"White,Green","S,M,L",Linen,https://www.google.com ,39.99,33.99,15.0,Shirts,BreezyWear,40,women,"summer, casual, linen, beach, plain, women",2025-06-11,in_stock
35,Women's Athletic Top,Breathable top for workouts.,"Blue,Pink","S,M,L",Spandex,https://www.google.com ,29.99,25.49,15.0,Athletic Tops,FlexWear,45,women,"spring, trendy, stretch, gym, logo, women",2025-06-10,in_stock
36,Kids' Graphic Tee,Fun t-shirt with playful designs.,"Yellow,Red","XS,S,M",Cotton,https://www.google.com ,14.99,12.99,13.34,T-Shirts,PlayWear,60,kids,"summer, casual, cotton, school, graphic, dinosaur",2025-06-09,in_stock
37,Men's Formal Pants,Tailored pants for office wear.,Black,"M,L,XL",Wool,https://www.google.com ,79.99,71.99,10.0,Pants,ProFit,0,men,"fall, formal, wool, work, plain, men",2025-06-08,out_of_stock
38,Women's Party Top,Sparkly top for evening events.,"Purple,Red,Blue","S,M,L",Polyester,https://www.google.com ,49.99,42.49,15.0,Tops,GlamVibe,30,women,"winter, trendy, stretch, party, patterned, women",2025-06-07,in_stock
39,Kids' Rain Jacket,Waterproof jacket for rainy days.,"Yellow,Blue","XS,S,M",Nylon,https://www.google.com ,34.99,29.74,15.0,Jackets,RainyDays,40,kids,"fall, casual, waterproof, school, graphic, kids",2025-06-06,in_stock
40,Kids' Raincoat,Waterproof coat for rainy playtime.,"Yellow,Blue,Red","XS,S,M",Nylon,https://www.google.com ,29.99,25.49,15.0,Raincoats,RainyDays,40,kids,"fall, casual, waterproof, school, graphic, princess",2025-06-05,in_stock
41,Men's Lounge Hoodie,Cozy hoodie for relaxing at home.,"Gray,Green,Black","M,L,XL",Cotton,https://www.google.com ,39.99,31.99,20.0,Hoodies,ComfyFit,0,men,"winter, casual, cotton, home, plain, men",2025-06-04,discontinued
42,Women's Athletic Leggings,Stretchy leggings for workouts.,"Blue,White,Purple,Black","S,M,L",Spandex,https://www.google.com ,44.99,38.24,15.0,Leggings,ActiveVibe,50,women,"spring, trendy, stretch, gym, patterned, women",2025-06-03,in_stock
43,Men's Casual Jacket,Stylish jacket for everyday wear.,"Blue,Gray,Black","M,L,XL",Denim,https://www.google.com ,64.99,55.24,15.0,Jackets,UrbanWear,50,men,"fall, casual, denim, party, logo, men",2025-06-12,in_stock
44,Women's Summer Skirt,Flowy skirt for warm weather.,"White,Red","S,M,L",Cotton,https://www.google.com ,34.99,29.74,15.0,Skirts,SunnyStyle,45,women,"summer, casual, cotton, beach, patterned, women",2025-06-11,in_stock
45,Men's Linen Shirt,Light shirt for warm weather.,"White,Beige","M,L,XL",Linen,https://www.google.com ,39.99,33.99,15.0,Shirts,BreezyWear,50,men,"summer, casual, linen, beach, plain, men",2025-06-10,in_stock
46,Women's Lounge Shorts,Comfy shorts for home.,"Gray,Purple","S,M,L",Cotton,https://www.google.com ,24.99,21.24,15.0,Lounge Shorts,ComfyWear,55,women,"winter, casual, cotton, home, plain, women",2025-06-09,in_stock
47,Men's Dress Shirt,Crisp shirt for formal occasions.,White,"M,L,XL",Cotton,https://www.google.com ,44.99,40.49,10.0,Shirts,FormalFit,0,men,"fall, formal, cotton, work, plain, men",2025-06-08,out_of_stock
48,Women's Athletic Top,Breathable top for workouts.,"Purple,Black,White,Blue","S,M,L",Spandex,https://www.google.com ,29.99,23.99,20.0,Athletic Tops,FitVibe,40,women,"spring, trendy, stretch, gym, logo, women",2025-06-07,in_stock
49,Unisex Sweatshirt,Cozy sweatshirt for casual wear.,"Green,Blue","M,L,XL",Cotton,https://www.google.com ,49.99,42.49,15.0,Sweatshirts,UrbanWear,35,unisex,"fall, casual, cotton, home, logo, gender-neutral",2025-06-06,in_stock
50,Kids' Summer Shorts,Lightweight shorts for play.,"Red,Green","XS,S,M",Cotton,https://www.google.com ,19.99,16.99,15.0,Shorts,PlayWear,60,kids,"summer, casual, cotton, beach, graphic, kids",2025-06-05,in_stock
51,Men's Lounge Shorts,Comfortable shorts for home relaxation.,"Gray,Green,Black","M,L,XL",Cotton,https://www.google.com ,24.99,19.99,20.0,Lounge Shorts,RelaxZone,55,men,"winter, casual, cotton, home, striped, men",2025-06-04,in_stock
52,Women's Formal Dress,Elegant dress for special events.,"Red,Purple","S,M,L",Polyester,https://www.google.com ,89.99,76.49,15.0,Dresses,ChicWear,0,women,"winter, formal, stretch, party, patterned, women",2025-06-03,coming_soon
